Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR11605268_1	(14.0, 11.0)	(15.0, 86.0)	(16.0, 215.0)	(17.0, 405.0)	(18.0, 567.0)	(19.0, 670.0)	(20.0, 898.0)	(21.0, 1100.0)	(22.0, 1587.0)	(23.0, 2436.0)	(24.0, 3635.0)	(25.0, 6527.0)	(26.0, 11310.0)	(27.0, 18778.0)	(28.0, 28437.0)	(29.0, 41202.0)	(30.0, 56559.0)	(31.0, 75006.0)	(32.0, 100543.0)	(33.0, 141070.0)	(34.0, 229435.0)	(35.0, 573859.0)	(36.0, 3836026.0)	(37.0, 166939.0)			
SRR11605268_2	(11.0, 1.0)	(12.0, 28.0)	(13.0, 137.0)	(14.0, 259.0)	(15.0, 280.0)	(16.0, 483.0)	(17.0, 785.0)	(18.0, 1078.0)	(19.0, 1485.0)	(20.0, 2103.0)	(21.0, 3116.0)	(22.0, 4935.0)	(23.0, 7819.0)	(24.0, 11478.0)	(25.0, 14205.0)	(26.0, 16469.0)	(27.0, 19837.0)	(28.0, 25756.0)	(29.0, 35175.0)	(30.0, 49685.0)	(31.0, 73266.0)	(32.0, 108157.0)	(33.0, 176315.0)	(34.0, 332698.0)	(35.0, 980611.0)	(36.0, 3259604.0)	(37.0, 171536.0)
SRR11605268_kneaddata_paired_1	(26.0, 7.0)	(27.0, 131.0)	(28.0, 941.0)	(29.0, 4552.0)	(30.0, 15041.0)	(31.0, 37826.0)	(32.0, 71852.0)	(33.0, 123593.0)	(34.0, 218387.0)	(35.0, 559218.0)	(36.0, 3841095.0)	(37.0, 168381.0)															
SRR11605268_kneaddata_paired_2	(25.0, 2.0)	(26.0, 14.0)	(27.0, 171.0)	(28.0, 993.0)	(29.0, 4153.0)	(30.0, 12752.0)	(31.0, 33717.0)	(32.0, 74218.0)	(33.0, 150571.0)	(34.0, 316750.0)	(35.0, 989369.0)	(36.0, 3286095.0)	(37.0, 172219.0)														
SRR11605269_1	(13.0, 1.0)	(14.0, 7.0)	(15.0, 22.0)	(16.0, 95.0)	(17.0, 158.0)	(18.0, 254.0)	(19.0, 368.0)	(20.0, 503.0)	(21.0, 630.0)	(22.0, 883.0)	(23.0, 1346.0)	(24.0, 2340.0)	(25.0, 4344.0)	(26.0, 7771.0)	(27.0, 13474.0)	(28.0, 21915.0)	(29.0, 32496.0)	(30.0, 45264.0)	(31.0, 61650.0)	(32.0, 85451.0)	(33.0, 123178.0)	(34.0, 205412.0)	(35.0, 536499.0)	(36.0, 3641660.0)	(37.0, 148548.0)		
SRR11605269_2	(11.0, 2.0)	(12.0, 44.0)	(13.0, 166.0)	(14.0, 307.0)	(15.0, 338.0)	(16.0, 398.0)	(17.0, 493.0)	(18.0, 664.0)	(19.0, 851.0)	(20.0, 1166.0)	(21.0, 1738.0)	(22.0, 2878.0)	(23.0, 4653.0)	(24.0, 7091.0)	(25.0, 9960.0)	(26.0, 13447.0)	(27.0, 18264.0)	(28.0, 24235.0)	(29.0, 33608.0)	(30.0, 46252.0)	(31.0, 65669.0)	(32.0, 99608.0)	(33.0, 164100.0)	(34.0, 342387.0)	(35.0, 1129786.0)	(36.0, 2885816.0)	(37.0, 80348.0)
SRR11605269_kneaddata_paired_1	(26.0, 14.0)	(27.0, 80.0)	(28.0, 638.0)	(29.0, 3179.0)	(30.0, 10805.0)	(31.0, 27877.0)	(32.0, 56352.0)	(33.0, 102657.0)	(34.0, 192588.0)	(35.0, 532783.0)	(36.0, 3638504.0)	(37.0, 149488.0)															
SRR11605269_kneaddata_paired_2	(25.0, 4.0)	(26.0, 27.0)	(27.0, 211.0)	(28.0, 1094.0)	(29.0, 4220.0)	(30.0, 13083.0)	(31.0, 33795.0)	(32.0, 73654.0)	(33.0, 150934.0)	(34.0, 336544.0)	(35.0, 1129202.0)	(36.0, 2891552.0)	(37.0, 80645.0)														
SRR11605270_1	(14.0, 1.0)	(15.0, 4.0)	(16.0, 19.0)	(17.0, 33.0)	(18.0, 88.0)	(19.0, 124.0)	(20.0, 188.0)	(21.0, 334.0)	(22.0, 620.0)	(23.0, 1291.0)	(24.0, 2918.0)	(25.0, 6485.0)	(26.0, 12417.0)	(27.0, 22288.0)	(28.0, 35457.0)	(29.0, 52230.0)	(30.0, 72371.0)	(31.0, 98007.0)	(32.0, 133699.0)	(33.0, 190871.0)	(34.0, 314697.0)	(35.0, 800269.0)	(36.0, 6010199.0)	(37.0, 292374.0)			
SRR11605270_2	(11.0, 2.0)	(12.0, 137.0)	(13.0, 336.0)	(14.0, 346.0)	(15.0, 255.0)	(16.0, 259.0)	(17.0, 269.0)	(18.0, 344.0)	(19.0, 477.0)	(20.0, 982.0)	(21.0, 2093.0)	(22.0, 4606.0)	(23.0, 9158.0)	(24.0, 14905.0)	(25.0, 21143.0)	(26.0, 28022.0)	(27.0, 36639.0)	(28.0, 48132.0)	(29.0, 64034.0)	(30.0, 85680.0)	(31.0, 120302.0)	(32.0, 180481.0)	(33.0, 303956.0)	(34.0, 664093.0)	(35.0, 2137589.0)	(36.0, 4235234.0)	(37.0, 87510.0)
